"X","school","sex","age","address","famsize","Pstatus","Medu","Fedu","Mjob","Fjob","reason","guardian","traveltime","studytime","failures","schoolsup","famsup","paid","activities","nursery","higher","internet","romantic","famrel","freetime","goout","Dalc","Walc","health","absences","G1","G2","G3"
36,"Gabriel Perecia","urban",15,"U","GT3","T",2,3,"other","other","other","father","15-30 min","0-2 hours",0,"no","yes","no","yes","yes","yes","no","no","average","very high","very low","very low","very low","very good",0,8,7,6
37,"Gabriel Perecia","urban",15,"U","LE3","T",4,3,"teacher","services","home","mother","0-15 min","5-10 hours",0,"no","yes","no","yes","yes","yes","yes","no","very high","high","average","very low","very low","good",2,15,16,18
38,"Gabriel Perecia","rural",16,"R","GT3","A",4,4,"other","teacher","reputation","mother","15-30 min","5-10 hours",0,"no","yes","no","yes","yes","yes","yes","yes","low","high","average","very low","very low","very good",7,15,16,15
39,"Gabriel Perecia","rural",15,"R","GT3","T",3,4,"services","health","course","mother","0-15 min","5-10 hours",0,"yes","yes","yes","yes","yes","yes","yes","no","high","average","low","very low","very low","very good",2,12,12,11
40,"Gabriel Perecia","rural",17,"R","GT3","T",2,2,"at_home","other","reputation","mother","0-15 min","0-2 hours",0,"yes","yes","yes","yes","yes","yes","no","no","high","average","very low","very low","very low","bad",8,14,13,13
41,"Gabriel Perecia","urban",16,"U","LE3","T",2,2,"other","other","home","mother","15-30 min","2-5 hours",1,"no","yes","no","yes","no","yes","yes","yes","average","average","average","very low","low","average",25,7,10,11
42,"Gabriel Perecia","urban",15,"U","LE3","T",4,4,"teacher","other","home","other","0-15 min","0-2 hours",0,"no","yes","no","no","no","yes","yes","yes","very high","high","average","low","high","very good",8,12,12,12
43,"Gabriel Perecia","urban",15,"U","GT3","T",4,4,"services","teacher","course","father","0-15 min","2-5 hours",0,"no","yes","no","yes","yes","yes","yes","no","high","average","average","very low","very low","very good",2,19,18,18
44,"Gabriel Perecia","urban",15,"U","GT3","T",2,2,"services","services","course","father","0-15 min","0-2 hours",0,"yes","yes","no","no","yes","yes","yes","no","very high","high","very low","very low","very low","very bad",0,8,8,11
45,"Gabriel Perecia","urban",16,"U","LE3","T",2,2,"other","at_home","course","father","15-30 min","2-5 hours",1,"yes","no","no","yes","yes","yes","yes","no","high","average","average","low","low","very good",14,10,10,9
46,"Gabriel Perecia","urban",15,"U","LE3","A",4,3,"other","other","course","mother","0-15 min","2-5 hours",0,"yes","yes","yes","yes","yes","yes","yes","yes","very high","low","low","very low","very low","very good",8,8,8,6
47,"Gabriel Perecia","urban",16,"U","LE3","A",3,3,"other","services","home","mother","0-15 min","2-5 hours",0,"no","yes","no","no","yes","yes","yes","no","low","average","very high","very low","high","average",12,11,12,11
48,"Gabriel Perecia","urban",16,"U","GT3","T",4,3,"health","services","reputation","mother","0-15 min","above 10 hours",0,"no","no","no","yes","yes","yes","yes","no","high","low","low","very low","very low","bad",4,19,19,20
49,"Gabriel Perecia","urban",15,"U","GT3","T",4,2,"teacher","other","home","mother","0-15 min","2-5 hours",0,"no","yes","yes","no","yes","yes","no","no","high","average","average","low","low","very good",2,15,15,14
50,"Gabriel Perecia","urban",15,"U","GT3","T",4,4,"services","teacher","other","father","0-15 min","2-5 hours",1,"yes","yes","no","yes","no","yes","yes","no","high","high","high","very low","very low","average",2,7,7,7
51,"Gabriel Perecia","urban",16,"U","LE3","T",2,2,"services","services","course","mother","30-60 min","2-5 hours",0,"no","yes","yes","no","yes","yes","yes","no","high","average","average","low","average","good",2,12,13,13
52,"Gabriel Perecia","urban",15,"U","LE3","T",4,2,"health","other","other","mother","0-15 min","2-5 hours",0,"no","yes","yes","no","yes","yes","yes","no","high","average","average","very low","very low","very good",2,11,13,13
53,"Gabriel Perecia","urban",15,"U","LE3","A",4,2,"other","health","other","father","15-30 min","0-2 hours",1,"no","no","no","no","yes","yes","no","no","very high","very high","very high","average","high","very good",6,11,11,10
54,"Gabriel Perecia","urban",15,"U","GT3","T",4,4,"services","services","course","mother","0-15 min","0-2 hours",0,"yes","yes","yes","no","yes","yes","yes","no","average","average","high","low","average","very good",0,8,10,11
55,"Gabriel Perecia","urban",15,"U","LE3","A",3,3,"other","other","other","mother","0-15 min","0-2 hours",0,"no","no","yes","no","yes","yes","yes","no","very high","average","high","high","high","very bad",6,10,13,13
56,"Gabriel Perecia","urban",16,"U","GT3","A",2,1,"other","other","other","mother","0-15 min","2-5 hours",0,"no","no","yes","yes","yes","yes","yes","yes","very high","average","high","very low","very low","bad",8,8,9,10
57,"Gabriel Perecia","urban",15,"U","GT3","A",4,3,"services","services","reputation","mother","0-15 min","2-5 hours",0,"no","yes","yes","yes","yes","yes","yes","no","high","average","low","very low","very low","very bad",0,14,15,15
58,"Gabriel Perecia","urban",15,"U","GT3","T",4,4,"teacher","health","reputation","mother","0-15 min","2-5 hours",0,"no","yes","no","yes","yes","yes","no","no","average","low","low","very low","very low","very good",4,14,15,15
59,"Gabriel Perecia","urban",15,"U","LE3","T",1,2,"other","at_home","home","father","0-15 min","2-5 hours",0,"yes","yes","no","yes","yes","yes","yes","no","high","average","low","very low","very low","very good",2,9,10,9
60,"Gabriel Perecia","urban",16,"U","GT3","T",4,2,"services","other","course","mother","0-15 min","2-5 hours",0,"no","yes","no","no","yes","yes","yes","no","high","low","average","very low","very low","very good",2,15,16,16
61,"Gabriel Perecia","rural",16,"R","GT3","T",4,4,"health","teacher","other","mother","0-15 min","2-5 hours",0,"no","yes","no","yes","yes","yes","no","no","low","high","high","low","average","good",6,10,11,11
62,"Gabriel Perecia","urban",16,"U","GT3","T",1,1,"services","services","course","father","above 60 min","0-2 hours",0,"yes","yes","no","yes","no","yes","yes","yes","very high","very high","very high","very high","very high","very good",6,10,8,11
63,"Gabriel Perecia","urban",16,"U","LE3","T",1,2,NA,"services","reputation","father","0-15 min","2-5 hours",0,"yes","no","no","yes","yes","yes","yes","no","high","high","average","very low","very low","very bad",4,8,10,9
64,"Gabriel Perecia","urban",16,"U","GT3","T",4,3,"teacher","health","home","mother","0-15 min","5-10 hours",0,"yes","yes","yes","yes","yes","yes","yes","no","average","high","high","low","high","good",2,10,9,9
65,"Gabriel Perecia","urban",15,"U","LE3","T",4,3,"services","services","reputation","father","0-15 min","2-5 hours",0,"yes","no","no","yes","yes","yes","yes","yes","high","high","high","low","high","bad",0,10,10,10
66,"Gabriel Perecia","urban",16,"U","LE3","T",4,3,"teacher","services","course","mother","30-60 min","2-5 hours",0,"no","yes","no","yes","yes","yes","yes","no","very high","high","average","very low","low","very bad",2,16,15,15
67,"Gabriel Perecia","urban",15,"U","GT3","A",4,4,"other","services","reputation","mother","0-15 min","above 10 hours",0,"no","yes","no","yes","no","yes","yes","yes","very low","average","average","very high","very high","average",4,13,13,12
68,"Gabriel Perecia","urban",16,"U","GT3","T",3,1,"services","other","course","mother","0-15 min","above 10 hours",0,"yes","yes","yes","no","yes","yes","yes","no","high","average","average","very low","low","very good",4,7,7,6
69,"Gabriel Perecia","rural",15,"R","LE3","T",2,2,"health","services","reputation","mother","15-30 min","2-5 hours",0,"yes","yes","yes","no","yes","yes","yes","no","high","very low","average","very low","average","good",2,8,9,8
70,"Gabriel Perecia","rural",15,"R","LE3","T",3,1,"other","other","reputation","father","15-30 min","above 10 hours",0,"no","yes","no","no","no","yes","yes","no","high","high","low","low","average","average",12,16,16,16
71,"Gabriel Perecia","urban",16,"U","GT3","T",3,1,"other","other","reputation","father","15-30 min","above 10 hours",0,"no","yes","yes","no","yes","yes","yes","no","high","average","low","very low","very low","very good",0,13,15,15
72,"Gabriel Perecia","urban",15,"U","GT3","T",4,2,"other","other","course","mother","0-15 min","above 10 hours",0,"no","no","no","no","yes","yes","yes","no","average","average","average","very low","very low","average",0,10,10,10
73,"Gabriel Perecia","rural",15,"R","GT3","T",1,1,"other","other","reputation","mother","0-15 min","2-5 hours",2,"yes","yes","no","no","no","yes","yes","yes","average","average","high","low","high","very good",2,8,6,5
74,"Gabriel Perecia","urban",16,"U","GT3","T",3,1,"other","other","reputation","mother","0-15 min","0-2 hours",0,"no","no","no","yes","yes","yes","no","no","very high","average","low","low","low","very good",2,12,12,14
75,"Gabriel Perecia","urban",16,"U","GT3","T",3,3,"other","services","home","mother","0-15 min","2-5 hours",0,"yes","yes","yes","yes","yes","yes","yes","no","high","average","average","low","high","very good",54,11,12,11
76,"Gabriel Perecia","urban",15,"U","GT3","T",4,3,"teacher","other","home","mother","0-15 min","2-5 hours",0,"no","yes","yes","yes","yes","yes","yes","no","high","average","average","low","average","very good",6,9,9,10
77,"Gabriel Perecia","urban",15,"U","GT3","T",4,0,"teacher","other","course","mother","15-30 min","above 10 hours",0,"no","no","no","yes","yes","yes","yes","no","average","high","average","very low","very low","very bad",8,11,11,10
78,"Gabriel Perecia","urban",16,"U","GT3","T",2,2,"other","other","reputation","mother","0-15 min","above 10 hours",0,"no","no","yes","no","yes","yes","yes","yes","very high","low","average","very low","average","average",0,11,11,11
79,"Gabriel Perecia","urban",17,"U","GT3","T",2,1,"other","other","home","mother","15-30 min","0-2 hours",3,"yes","yes","no","yes","yes","no","yes","no","high","very high","very low","very low","very low","average",2,8,8,10
80,"Gabriel Perecia","urban",16,"U","GT3","T",3,4,"at_home","other","course","mother","0-15 min","2-5 hours",0,"no","yes","no","no","yes","yes","yes","no","low","high","average","very low","low","average",12,5,5,5
81,"Gabriel Perecia","urban",15,"U","GT3","T",2,3,"other","services","course","father","0-15 min","0-2 hours",0,"yes","yes","yes","yes","no","yes","yes","yes","average","low","low","very low","average","average",2,10,12,12
82,"Gabriel Perecia","urban",15,"U","GT3","T",2,3,"other","other","home","mother","0-15 min","5-10 hours",0,"yes","no","yes","no","no","yes","yes","no","very high","average","low","very low","low","very good",4,11,10,11
83,"Gabriel Perecia","urban",15,"U","LE3","T",3,2,"services","other","reputation","mother","0-15 min","2-5 hours",0,"no","yes","yes","no","yes","yes","yes","no","high","high","high","very low","very low","very good",10,7,6,6
84,"Gabriel Perecia","urban",15,"U","LE3","T",2,2,"services","services","home","mother","15-30 min","2-5 hours",0,"no","no","yes","yes","yes","yes","yes","no","very high","average","average","very low","average","good",4,15,15,15
85,"Gabriel Perecia","urban",15,"U","GT3","T",1,1,"other","other","home","father","0-15 min","2-5 hours",0,"no","yes","no","yes","no","yes","yes","no","high","average","low","low","average","good",2,9,10,10
86,"Gabriel Perecia","urban",15,"U","GT3","T",4,4,"services","services","reputation","father","15-30 min","2-5 hours",2,"no","no","yes","no","yes","yes","yes","yes","high","high","high","low","average","very good",6,7,9,8
87,"Gabriel Perecia","urban",16,"U","LE3","T",2,2,"at_home","other","course","mother","0-15 min","2-5 hours",0,"no","yes","no","no","yes","yes","no","no","high","average","high","very low","low","bad",4,8,7,6
88,"Gabriel Perecia","urban",15,"U","GT3","T",4,2,"other","other","reputation","mother","0-15 min","5-10 hours",0,"no","yes","no","yes","yes","yes","yes","no","very high","average","average","very low","average","very bad",4,13,14,14
89,"Gabriel Perecia","urban",16,"U","GT3","T",2,2,"services","other","reputation","father","15-30 min","2-5 hours",1,"no","no","yes","yes","no","yes","yes","no","high","high","low","very low","very low","average",12,11,10,10
90,"Gabriel Perecia","urban",16,"U","LE3","A",4,4,"teacher","health","reputation","mother","0-15 min","2-5 hours",0,"no","yes","no","no","yes","yes","no","no","high","very low","average","average","very high","very good",18,8,6,7
91,"Gabriel Perecia","urban",16,"U","GT3","T",3,3,"other","other","home","mother","0-15 min","5-10 hours",0,"no","yes","yes","no","yes","yes","yes","yes","high","average","average","very low","average","good",0,7,7,8
92,"Gabriel Perecia","urban",15,"U","GT3","T",4,3,"services","other","reputation","mother","0-15 min","0-2 hours",0,"no","no","yes","yes","yes","yes","yes","no","high","very high","very high","very low","average","very bad",4,16,17,18
93,"Gabriel Perecia","urban",16,"U","LE3","T",3,1,"other","other","home","father","0-15 min","2-5 hours",0,"yes","yes","no","no","yes","yes","no","no","average","average","average","low","average","bad",4,7,6,6
94,"Gabriel Perecia","urban",16,"U","GT3","T",4,2,"teacher","services","home","mother","15-30 min","2-5 hours",0,"no","yes","yes","yes","yes","yes","yes","no","very high","average","average","very low","very low","very bad",0,11,10,10
95,"Gabriel Perecia","urban",15,"U","LE3","T",2,2,"services","health","reputation","mother","0-15 min","above 10 hours",0,"no","yes","no","yes","yes","yes","yes","no","high","average","high","very low","very low","good",6,11,13,14
96,"Gabriel Perecia","rural",15,"R","GT3","T",1,1,"at_home","other","home","mother","15-30 min","above 10 hours",1,"yes","yes","yes","yes","yes","yes","yes","no","average","very low","low","very low","very low","very bad",2,7,10,10
97,"Gabriel Perecia","rural",17,"R","GT3","T",4,3,"services","other","reputation","mother","15-30 min","0-2 hours",0,"yes","yes","no","yes","no","yes","yes","no","average","average","average","very low","very low","good",2,11,15,15
98,"Gabriel Perecia","urban",16,"U","GT3","T",2,1,"other","other","course","mother","0-15 min","2-5 hours",0,"no","yes","yes","no","yes","yes","no","yes","high","average","very high","very low","very low","very good",2,8,9,10
99,"Gabriel Perecia","urban",16,"U","GT3","T",4,4,"other","other","reputation","mother","0-15 min","0-2 hours",0,"no","no","no","yes","no","yes","yes","no","very high","average","high","very low","low","very bad",6,11,14,14
100,"Gabriel Perecia","urban",16,"U","GT3","T",4,3,"other","at_home","course","mother","0-15 min","5-10 hours",0,"yes","yes","yes","no","yes","yes","yes","no","very high","average","very high","very low","very low","average",0,7,9,8
101,"Gabriel Perecia","urban",16,"U","GT3","T",4,4,"services","services","other","mother","0-15 min","0-2 hours",0,"yes","yes","yes","yes","yes","yes","yes","no","high","very high","very high","very high","very high","good",14,7,7,5
102,"Gabriel Perecia","urban",16,"U","GT3","T",4,4,"services","teacher","other","father","0-15 min","5-10 hours",0,"no","yes","no","yes","yes","yes","yes","yes","high","high","average","very low","very low","good",0,16,17,17
103,"Gabriel Perecia","urban",15,"U","GT3","T",4,4,"services","other","course","mother","0-15 min","0-2 hours",0,"no","yes","no","yes","no","yes","yes","no","very high","average","average","very low","very low","very good",4,10,13,14
104,"Gabriel Perecia","urban",15,"U","GT3","T",3,2,"services","other","home","mother","15-30 min","2-5 hours",0,"yes","yes","yes","no","yes","yes","yes","no","high","average","very high","very low","very low","bad",26,7,6,6
105,"Gabriel Perecia","urban",15,"U","GT3","A",3,4,"services","other","course","mother","0-15 min","2-5 hours",0,"no","yes","yes","yes","yes","yes","yes","no","very high","high","high","very low","very low","very bad",0,16,18,18
106,"Gabriel Perecia","urban",15,"U","GT3","A",3,3,"other","health","reputation","father","0-15 min","above 10 hours",0,"yes","no","no","no","yes","yes","no","no","high","average","average","very low","very low","good",10,10,11,11
107,"Gabriel Perecia","urban",15,"U","GT3","T",2,2,"other","other","course","mother","0-15 min","above 10 hours",0,"yes","yes","yes","no","yes","yes","yes","no","very high","very low","low","very low","very low","average",8,7,8,8
108,"Gabriel Perecia","urban",16,"U","GT3","T",3,3,"services","other","home","father","0-15 min","5-10 hours",0,"no","yes","no","yes","yes","yes","yes","no","very high","average","average","very low","very low","very good",2,16,18,18
109,"Gabriel Perecia","rural",15,"R","GT3","T",4,4,"other","other","home","father","above 60 min","above 10 hours",0,"no","yes","yes","yes","yes","yes","yes","yes","very low","average","very high","average","very high","very bad",6,10,13,13
110,"Gabriel Perecia","urban",16,"U","LE3","T",4,4,"health","health","other","mother","0-15 min","5-10 hours",0,"no","yes","yes","yes","yes","yes","yes","yes","very high","high","very high","very low","very low","good",4,14,15,16
111,"Gabriel Perecia","urban",15,"U","LE3","A",4,4,"teacher","teacher","course","mother","0-15 min","0-2 hours",0,"no","no","no","yes","yes","yes","yes","no","very high","very high","average","very low","very low","good",6,18,19,19
112,"Gabriel Perecia","rural",16,"R","GT3","T",3,3,"services","other","reputation","father","0-15 min","5-10 hours",1,"yes","yes","no","yes","yes","yes","yes","no","high","very low","low","very low","very low","bad",0,7,10,10
113,"Gabriel Perecia","urban",17,"U","GT3","T",2,2,"at_home","other","home","mother","0-15 min","2-5 hours",1,"yes","no","no","yes","yes","yes","yes","no","average","very low","low","very low","very low","very good",6,10,13,13
114,"Gabriel Perecia","urban",15,"U","LE3","T",4,2,"teacher","other","course","mother","0-15 min","0-2 hours",0,"no","no","no","no","yes","yes","yes","no","average","very high","low","very low","very low","average",10,18,19,19
115,"Gabriel Perecia","rural",15,"R","GT3","T",2,1,"health","services","reputation","mother","0-15 min","2-5 hours",0,"no","no","no","yes","yes","yes","yes","yes","very high","high","low","very low","very low","very good",8,9,9,9
116,"Gabriel Perecia","urban",16,"U","GT3","T",4,4,"teacher","teacher","course","father","0-15 min","2-5 hours",0,"no","yes","no","yes","yes","yes","yes","no","very high","high","high","very low","low","very good",2,15,15,16
117,"Gabriel Perecia","urban",15,"U","GT3","T",4,4,"other","teacher","reputation","father","15-30 min","2-5 hours",0,"no","yes","no","yes","yes","yes","no","no","high","high","average","very low","very low","bad",2,11,13,14
118,"Gabriel Perecia","urban",16,"U","GT3","T",3,3,"other","services","home","father","15-30 min","0-2 hours",0,"no","no","no","yes","yes","yes","yes","no","very high","high","low","very low","very low","very good",0,13,14,13
119,"Gabriel Perecia","rural",17,"R","GT3","T",1,3,"other","other","course","father","30-60 min","2-5 hours",1,"no","yes","no","yes","yes","yes","yes","no","very high","low","high","very low","high","very good",20,9,7,8
120,"Gabriel Perecia","urban",15,"U","GT3","T",3,4,"other","other","reputation","father","0-15 min","0-2 hours",0,"no","no","no","no","yes","yes","yes","no","average","high","average","very low","low","good",6,14,13,13
121,"Gabriel Perecia","urban",15,"U","GT3","T",1,2,"at_home","services","course","mother","0-15 min","2-5 hours",0,"no","no","no","no","no","yes","yes","no","average","low","average","very low","low","very bad",2,16,15,15
122,"Gabriel Perecia","urban",15,"U","GT3","T",2,2,"services","services","home","father","0-15 min","above 10 hours",0,"no","yes","yes","yes","yes","yes","yes","no","very high","very high","high","very low","low","very good",6,16,14,15
123,"Gabriel Perecia","urban",16,"U","LE3","T",2,4,"other","health","course","father","15-30 min","2-5 hours",0,"no","yes","yes","yes","yes","yes","yes","yes","high","low","low","very low","low","very good",2,13,13,13
124,"Gabriel Perecia","urban",16,"U","GT3","T",4,4,"health","other","course","mother","0-15 min","0-2 hours",0,"no","yes","no","yes","yes","yes","yes","no","average","high","high","very low","high","very good",18,14,11,13
125,"Gabriel Perecia","urban",16,"U","GT3","T",2,2,"other","other","home","mother","0-15 min","2-5 hours",0,"no","no","yes","no","yes","yes","yes","yes","very high","high","high","very low","very low","very good",0,8,7,8
126,"Gabriel Perecia","urban",15,"U","GT3","T",3,4,"services","services","home","father","0-15 min","0-2 hours",0,"yes","no","no","no","yes","yes","yes","no","very high","very high","very high","average","low","very good",0,13,13,12
127,"Gabriel Perecia","urban",15,"U","LE3","A",3,4,"other","other","home","mother","0-15 min","2-5 hours",0,"yes","no","no","yes","yes","yes","yes","yes","very high","average","low","very low","very low","very bad",0,7,10,11
128,"Gabriel Perecia","urban",19,"U","GT3","T",0,1,"at_home","other","course","other","0-15 min","2-5 hours",3,"no","yes","no","no","no","no","no","no","average","high","low","very low","very low","very good",2,7,8,9
129,"Gabriel Perecia","rural",17,"R","GT3","T",2,2,"services","other","reputation","mother","0-15 min","0-2 hours",2,"no","yes","no","yes","yes","yes","yes","no","average","average","average","very low","low","good",0,7,4,0
130,"Gabriel Perecia","rural",16,"R","GT3","T",4,4,"teacher","teacher","course","mother","0-15 min","0-2 hours",0,"no","no","yes","yes","yes","yes","yes","no","average","very high","very high","low","very high","good",8,18,18,18
131,"Gabriel Perecia","rural",15,"R","GT3","T",3,4,"services","teacher","course","father","15-30 min","5-10 hours",2,"no","yes","no","no","yes","yes","yes","yes","high","low","low","low","low","very good",0,12,0,0
132,"Gabriel Perecia","urban",15,"U","GT3","T",1,1,"at_home","other","course","mother","30-60 min","0-2 hours",0,"no","yes","no","yes","no","yes","yes","yes","high","average","average","very low","low","good",0,8,0,0
133,"Gabriel Perecia","urban",17,"U","LE3","T",2,2,"other","other","course","father","0-15 min","0-2 hours",0,"no","yes","no","no","yes","yes","yes","yes","average","high","high","very low","average","very good",12,10,13,12
134,"Gabriel Perecia","urban",16,"U","GT3","A",3,4,"services","other","course","father","0-15 min","0-2 hours",0,"no","no","no","no","yes","yes","yes","no","average","low","very low","very low","high","very good",16,12,11,11
135,"Gabriel Perecia","rural",15,"R","GT3","T",3,4,"at_home","teacher","course","mother","above 60 min","2-5 hours",0,"no","yes","no","no","yes","yes","no","yes","very high","average","average","very low","very low","very good",0,9,0,0
